日期,品牌ID,品牌名称,门店ID,门店名称,城市,平台,平台i,平台门店名称,GMV,商家实收,门店曝光量,门店访问量,门店下单量,无效订单,有效订单,曝光人数,进店人数,下单人数,cpc总费用,cpc曝光量,cpc访问量,商户补贴,平台补贴
2020-03-16,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,868.91,363.86,835,78,13,0,13,835,78,13,39.22,671,41,421,57
2020-03-17,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),596.26,204.92,1010,73,10,0,10,1010,73,9,40,434,33,331,11
2020-03-17,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,522.53,199.07,939,74,8,0,8,939,74,8,38.87,676,40,274,33
2020-03-18,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1703.44,625.35,1132,93,25,0,25,1132,93,25,41.28,378,37,910,18
2020-03-18,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,402.23,153.73,802,69,6,0,6,802,69,6,40.37,448,40,209,18
2020-03-19,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1749.35,631.55,1076,99,27,1,26,1076,99,27,38.6,340,34,949,29
2020-03-19,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,596.31,232.66,1935,123,10,0,10,1935,123,10,27.04,501,27,307,58
2020-03-20,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1458.53,517.61,1135,78,22,0,22,1135,78,19,27.66,350,25,803,19
2020-03-20,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,849.38,327.01,1961,130,15,0,15,1961,130,15,22.1,559,21,438,88
2020-03-20,4636,蛙小辣火锅杯（总账号）,8184590,五角场店,上海,meituan,美团,蛙小辣火锅杯（五角场店）,837.26,249.13,1085,73,14,0,14,1085,73,13,48.81,414,32,506,49
2020-03-20,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),706.88,235.83,1044,66,12,0,12,1044,66,11,41.9,506,29,403,29
2020-03-21,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1293.56,524.39,1783,108,18,0,18,1783,108,16,32.17,341,28,628,29
2020-03-21,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),1366.3,509.43,1239,73,19,0,19,1239,73,18,26.7,343,21,732,47
2020-03-21,4636,蛙小辣火锅杯（总账号）,8184590,五角场店,上海,meituan,美团,蛙小辣火锅杯（五角场店）,299.62,76.35,916,54,6,0,6,916,54,6,17.92,258,15,190,26
2020-03-22,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1462.61,495.64,1833,124,24,0,24,1833,124,22,35.4,404,30,820,52
2020-03-22,4636,蛙小辣火锅杯（总账号）,8184590,五角场店,上海,meituan,美团,蛙小辣火锅杯（五角场店）,561.78,221,790,47,10,1,9,790,47,9,13.25,183,13,284,33
2020-03-22,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),940.11,340.42,928,49,14,0,14,928,49,13,15.4,229,13,509,41
2020-03-23,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),958.69,323.03,1425,99,16,0,16,1425,99,15,29.39,281,25,541,30
2020-03-23,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,414.71,155.24,806,60,7,0,7,806,60,7,31.06,521,29,221,35
2020-03-23,4636,蛙小辣火锅杯（总账号）,8184590,五角场店,上海,meituan,美团,蛙小辣火锅杯（五角场店）,823.99,298.6,1689,68,14,0,14,1689,68,13,39.32,331,26,441,36
2020-03-23,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),1045.28,411.35,930,59,15,0,15,930,59,14,22.8,267,16,523,23
2020-03-24,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1337.57,467.26,1366,105,21,0,21,1366,105,21,21.13,281,18,738,36
